Author,Road Segment ID,Bounding Street #1,Bounding Street #2,Intersection #1 ID,Intersection #2 ID,Intersection #1 Latitude,Intersection #1 Longtitude,Intersection #2 Latitude,Intersection #2 Longtitude,Road Segment Street,Lanes in each direction,Lanes in Street #1 -> Street #2 direction,Lanes in Street #2 -> Street #1 direction,Length (m)
Yi Wei,1,Parking Lot Exit #23,Centennial Olympic Park Dr NW,P23,51,"33d45'29.64""N","84d23'33.57""W","33d45'30.09""N","84d23'34.18""W",Walton St NW,4,2,2,24
Yi Wei,2,Walton St NW,Marietta St NW,51,52,"33d45'30.09""N","84d23'34.18""W","33d45'28.29""N","84d23'36.59""W",Centennial Olympic Park Dr NW,4,2,2,84
Yi Wei,3,Centennial Olympic Park Dr NW,Parking Lot Exit #26,52,P26,"33d45'28.29""N","84d23'36.59""W","33d45'27.72""N","84d23'36.02""W",Marietta St NW,6,3,3,22
Yi Wei,4,Centennial Olympic Park Dr NW,Spring St NW,P26,44,"33d45'27.72""N","84d23'36.02""W","33d45'25.14""N","84d23'33.44""W",Marietta St NW,6,3,3,106
Yi Wei,5,Walton St NW,Nassau St NW,51,50,"33d45'30.09""N","84d23'34.18""W","33d45'31.90""N","84d23'31.96""W",Centennial Olympic Park Dr NW,4,4,0,79
Yi Wei,6,Nassau St NW,Luckie St NW,50,49,"33d45'31.90""N","84d23'31.96""W","33d45'33.00""N","84d23'31.50""W",Centennial Olympic Park Dr NW,4,4,0,36
Yi Wei,7,Luckie St NW,Andrew Young International Blvd NW,49,53,"33d45'33.00""N","84d23'31.50""W","33d45'34.85""N","84d23'31.53""W",Centennial Olympic Park Dr NW,4,4,0,60
Yi Wei,8,Andrew Young International Blvd NW,John Portman Blvd,53,54,"33d45'34.85""N","84d23'31.53""W","33d45'39.45""N","84d23'31.33""W",Centennial Olympic Park Dr NW,4,4,0,147
Yi Wei,9,John Portman Blvd,Baker St NW,54,55,"33d45'39.45""N","84d23'31.33""W","33d45'44.00""N","84d23'31.32""W",Centennial Olympic Park Dr NW,4,4,0,142
Yi Wei,10,Baker St NW,Simpson St NW,55,56,"33d45'44.00""N","84d23'31.32""W","33d45'47.93""N","84d23'31.31""W",Centennial Olympic Park Dr NW,4,4,0,122
Yi Wei,11,Simpson St NW,Ivan Allen Jr Blvd,56,8,"33d45'47.93""N","84d23'31.31""W","33d45'52.67""N","84d23'30.96""W",Centennial Olympic Park Dr NW,4,4,0,144
Yi Wei,12,Centennial Olympic Park Dr NW,William St NW,8,9,"33d45'52.67""N","84d23'30.96""W","33d45'52.62""N","84d23'25.31""W",Ivan Allen Jr Blvd,4,2,2,147
Yi Wei,13,Parking Lot Exit #23,Parking Lot Exit #28,P23,P28,"33d45'29.64""N","84d23'33.57""W","33d45'28.51""N","84d23'32.39""W",Walton St NW,4,2,2,47
Yi Wei,14,Parking Lot Exit #28,Parking Lot Exit #24,P28,P24,"33d45'28.51""N","84d23'32.39""W","33d45'27.72""N","84d23'31.55""W",Walton St NW,4,2,2,31
Yi Wei,15,Parking Lot Exit #24,Parking Lot Exit #27,P24,P27,"33d45'27.72""N","84d23'31.55""W","33d45'27.41""N","84d23'31.24""W",Walton St NW,4,2,2,13
Yi Wei,16,Parking Lot Exit #27,Spring St NW,P27,45,"33d45'27.41""N","84d23'31.24""W","33d45'26.96""N","84d23'30.86""W",Walton St NW,4,2,2,17
Yi Wei,17,Walton St NW,Parking Lot Exit #25,45,P25,"33d45'26.96""N","84d23'30.86""W","33d45'27.53""N","84d23'30.09""W",Spring St NW,4,2,2,23
Yi Wei,18,Parking Lot Exit #25,Nassau St NW,P25,46,"33d45'27.53""N","84d23'30.09""W","33d45'27.83""N","84d23'29.70""W",Spring St NW,4,2,2,17
Yi Wei,19,Nassau St NW,Polar St NW,46,47,"33d45'27.83""N","84d23'29.70""W","33d45'28.42""N","84d23'28.78""W",Spring St NW,4,2,2,30
